subject,arm,timepoint,query,tax_id,parent_tax_id
10,P,0,SRR5580233.2296061,1277892,1758253
10,P,0,SRR5580233.891743,169683,680115
10,P,0,SRR5580233.2099194,536444,196896
10,P,0,SRR5580237.5156798,861448,12333
10,P,0,SRR5580239.1889511,75590,79205
10,P,0,SRR5580239.1936497,1458842,196894
10,P,0,SRR5580237.5618355,38018,12333
10,P,0,SRR5580238.120796,38018,12333
10,P,0,SRR5580233.2108893,869726,756278
10,P,0,SRR5580238.3013543,335924,196896
10,P,0,SRR5580239.203833,230158,196896
10,P,0,SRR5580237.7506548,458639,196896
10,P,0,SRR5580237.1375486,1289600,12333
10,P,0,SRR5580237.4263441,1084719,686598
10,P,0,SRR5580238.246683,861448,12333
10,P,0,SRR5580238.2038574,1211643,1623296
10,P,0,SRR5580237.7241178,120574,196894
10,P,0,SRR5580238.160685,861448,12333
10,P,0,SRR5580237.5631568,557989,12333
10,P,0,SRR5580239.1285454,1175662,196894
10,P,0,SRR5580233.1394721,861448,12333
10,P,0,SRR5580239.282213,571950,12333
10,P,0,SRR5580237.4135244,399185,1623298
10,P,0,SRR5580239.1728611,1173749,1911006
10,P,0,SRR5580239.221375,38018,12333
10,P,0,SRR5580236.258319,1204535,196896
10,P,0,SRR5580236.2412868,38018,12333
10,P,0,SRR5580238.2219815,536474,79205
10,P,0,SRR5580239.1044356,38018,12333
10,P,0,SRR5580238.1957114,59241,196894
10,P,0,SRR5580236.294078,1289600,12333
10,P,0,SRR5580233.2569004,12336,196896
10,P,0,SRR5580233.2879275,179237,102294
10,P,0,SRR5580238.798040,38018,12333
10,P,0,SRR5580239.1158334,879630,329380
10,P,0,SRR5580236.2426803,861448,12333
10,P,0,SRR5580233.882801,1522092,196896
10,P,0,SRR5580233.509473,335924,196896
10,P,0,SRR5580238.2634443,1034132,2006134
10,P,0,SRR5580233.2431517,335924,196896
10,P,0,SRR5580236.1618895,38018,12333
10,P,0,SRR5580239.1542481,1279082,196896
10,P,0,SRR5580238.1923253,10752,371730
10,P,0,SRR5580238.1342860,571950,12333
10,P,0,SRR5580236.1223339,1084719,686598
10,P,0,SRR5580233.2838518,948870,196896
